,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
290,200 DM or more,12,all credits at this bank paid back duly,repairs,3565,1000 DM or more,less than 1 year,25 to 35,male : married/widowed,none,less than 1 year,car or other,37,none,rent,2-3,unskilled-resident,3 or more,no,no,1
291,200 DM or more,15,no credits taken/all credits paid back duly,car (used),2221,100 to 500 DM,1 to 4 yrs,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,1
292,200 DM or more,6,all credits at this bank paid back duly,furniture/equipment,1898,1000 DM or more,1 to 4 yrs,35 or more,male : married/widowed,none,1 to 4 yrs,unknown/no property,34,none,rent,2-3,unskilled-resident,3 or more,no,no,1
293,less than 0 DM,6,existing credits paid back duly till now,retraining,1449,less than 100 DM,7 yrs or more,35 or more,male : divorced/separated,none,1 to 4 yrs,building soc. savings agr./life insurance,31,bank,rent,2-3,skilled employee/official,3 or more,no,no,1
294,200 DM or more,15,existing credits paid back duly till now,car (used),960,500 to 1000 DM,4 to 7 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,car or other,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
295,200 DM or more,36,no credits taken/all credits paid back duly,car (new),8133,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,none,1 to 4 yrs,car or other,30,bank,rent,1,skilled employee/official,0 to 2,no,no,1
296,200 DM or more,9,no credits taken/all credits paid back duly,car (used),2301,less than 100 DM,less than 1 year,25 to 35,female : non-single or male : single,none,7 yrs or more,car or other,22,none,for free,1,skilled employee/official,0 to 2,no,no,1
297,200 DM or more,6,existing credits paid back duly till now,retraining,1743,less than 100 DM,1 to 4 yrs,35 or more,male : married/widowed,none,1 to 4 yrs,unknown/no property,34,none,rent,2-3,unskilled-resident,0 to 2,no,no,1
298,less than 0 DM,12,no credits taken/all credits paid back duly,car (used),983,500 to 1000 DM,less than 1 year,35 or more,female : non-single or male : single,none,7 yrs or more,unknown/no property,19,none,for free,1,unskilled-resident,0 to 2,no,no,1
299,200 DM or more,18,existing credits paid back duly till now,furniture/equipment,2320,unknown/no savings account,unemployed,25 to 35,female : single,none,4 to 7 yrs,unknown/no property,34,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
300,no checking account,12,critical account/other credits elsewhere,vacation,339,unknown/no savings account,7 yrs or more,less than 20,female : single,none,less than 1 year,building soc. savings agr./life insurance,45,bank,rent,1,unskilled-resident,0 to 2,no,no,1
301,0 to 200 DM,24,no credits taken/all credits paid back duly,furniture/equipment,5152,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,25,bank,rent,1,skilled employee/official,0 to 2,no,no,1
302,0 to 200 DM,24,no credits taken/all credits paid back duly,car (used),3749,unknown/no savings account,less than 1 year,25 to 35,female : non-single or male : single,none,7 yrs or more,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
303,200 DM or more,9,all credits at this bank paid back duly,furniture/equipment,3074,1000 DM or more,1 to 4 yrs,35 or more,male : married/widowed,none,1 to 4 yrs,unknown/no property,33,none,rent,2-3,skilled employee/official,3 or more,no,no,1
304,0 to 200 DM,9,no credits taken/all credits paid back duly,furniture/equipment,745,unknown/no savings account,1 to 4 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,unknown/no property,28,none,rent,1,unskilled-resident,0 to 2,no,no,0
305,200 DM or more,24,no credits taken/all credits paid back duly,others,1469,less than 100 DM,7 yrs or more,less than 20,female : single,none,7 yrs or more,unknown/no property,41,none,for free,1,unskilled-resident,0 to 2,no,no,1
306,no checking account,6,no credits taken/all credits paid back duly,car (used),1374,unknown/no savings account,1 to 4 yrs,35 or more,male : married/widowed,none,1 to 4 yrs,unknown/no property,36,bank,rent,1,unskilled-resident,0 to 2,yes (under customer name),no,1
307,200 DM or more,6,critical account/other credits elsewhere,others,783,1000 DM or more,1 to 4 yrs,35 or more,male : married/widowed,guarantor,1 to 4 yrs,unknown/no property,26,stores,rent,1,unskilled-resident,3 or more,no,no,1
308,no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,2606,unknown/no savings account,less than 1 year,less than 20,female : non-single or male : single,none,7 yrs or more,car or other,28,none,for free,1,manager/self-employed/highly qualified employee,0 to 2,yes (under customer name),no,1
309,200 DM or more,54,delay in paying off in the past,car (new),9436,1000 DM or more,1 to 4 yrs,25 to 35,male : married/widowed,none,1 to 4 yrs,car or other,39,none,rent,1,unskilled-resident,3 or more,no,no,1
310,200 DM or more,12,all credits at this bank paid back duly,furniture/equipment,930,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,unknown/no property,65,none,rent,6 or more,skilled employee/official,0 to 2,no,no,1
311,200 DM or more,48,all credits at this bank paid back duly,car (new),2751,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,4 to 7 yrs,building soc. savings agr./life insurance,38,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,1
312,200 DM or more,6,all credits at this bank paid back duly,others,250,500 to 1000 DM,1 to 4 yrs,25 to 35,female : non-single or male : single,none,1 to 4 yrs,unknown/no property,41,bank,rent,2-3,unskilled-resident,0 to 2,no,no,1
313,less than 0 DM,24,no credits taken/all credits paid back duly,others,1201,unknown/no savings account,less than 1 year,less than 20,male : married/widowed,none,less than 1 year,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,1
314,no checking account,6,no credits taken/all credits paid back duly,others,662,unknown/no savings account,less than 1 year,20 to 25,male : married/widowed,none,7 yrs or more,unknown/no property,41,none,rent,1,unskilled-resident,3 or more,yes (under customer name),no,1
315,200 DM or more,15,no credits taken/all credits paid back duly,car (new),1300,1000 DM or more,7 yrs or more,less than 20,male : married/widowed,none,7 yrs or more,real estate,45,bank,own,1,skilled employee/official,3 or more,no,no,1
316,200 DM or more,24,critical account/other credits elsewhere,retraining,1559,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,40,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
317,0 to 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,3016,unknown/no savings account,1 to 4 yrs,20 to 25,female : single,none,less than 1 year,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,no,1
318,200 DM or more,15,all credits at this bank paid back duly,furniture/equipment,1360,unknown/no savings account,1 to 4 yrs,less than 20,male : married/widowed,none,1 to 4 yrs,car or other,31,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
319,200 DM or more,6,delay in paying off in the past,others,1204,less than 100 DM,1 to 4 yrs,less than 20,male : married/widowed,none,less than 1 year,real estate,35,bank,for free,1,skilled employee/official,0 to 2,no,yes,1
320,200 DM or more,10,no credits taken/all credits paid back duly,others,1597,100 to 500 DM,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,real estate,40,none,for free,1,unskilled-resident,3 or more,no,yes,1
321,200 DM or more,12,no credits taken/all credits paid back duly,furniture/equipment,2073,less than 100 DM,1 to 4 yrs,less than 20,female : non-single or male : single,co-applicant,1 to 4 yrs,unknown/no property,28,none,rent,1,skilled employee/official,0 to 2,no,no,1
322,200 DM or more,11,no credits taken/all credits paid back duly,retraining,2142,500 to 1000 DM,7 yrs or more,35 or more,male : divorced/separated,none,1 to 4 yrs,unknown/no property,28,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,1
323,no checking account,10,all credits at this bank paid back duly,car (used),2132,1000 DM or more,less than 1 year,25 to 35,female : non-single or male : single,co-applicant,4 to 7 yrs,unknown/no property,27,none,for free,2-3,skilled employee/official,0 to 2,no,yes,1
324,200 DM or more,10,no credits taken/all credits paid back duly,others,1546,unknown/no savings account,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,unknown/no property,31,none,rent,1,unskilled-resident,3 or more,no,yes,1
325,200 DM or more,24,all credits at this bank paid back duly,others,1287,500 to 1000 DM,7 yrs or more,less than 20,female : non-single or male : single,none,7 yrs or more,unknown/no property,37,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
326,200 DM or more,10,no credits taken/all credits paid back duly,others,1418,less than 100 DM,1 to 4 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,unknown/no property,35,none,for free,1,unskilled-resident,0 to 2,no,yes,1
327,0 to 200 DM,6,all credits at this bank paid back duly,others,1343,unknown/no savings account,7 yrs or more,35 or more,male : married/widowed,none,7 yrs or more,unknown/no property,46,none,rent,2-3,skilled employee/official,3 or more,no,yes,1
328,200 DM or more,18,no credits taken/all credits paid back duly,others,2662,1000 DM or more,4 to 7 yrs,less than 20,male : married/widowed,none,4 to 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,yes,1
329,200 DM or more,18,all credits at this bank paid back duly,furniture/equipment,6070,unknown/no savings account,7 yrs or more,20 to 25,male : married/widowed,none,7 yrs or more,building soc. savings agr./life insurance,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
330,200 DM or more,24,all credits at this bank paid back duly,repairs,1927,1000 DM or more,1 to 4 yrs,20 to 25,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,33,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
331,200 DM or more,18,all credits at this bank paid back duly,furniture/equipment,2404,unknown/no savings account,1 to 4 yrs,25 to 35,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,skilled employee/official,0 to 2,no,no,1
332,200 DM or more,6,all credits at this bank paid back duly,furniture/equipment,1554,unknown/no savings account,4 to 7 yrs,35 or more,female : non-single or male : single,none,1 to 4 yrs,building soc. savings agr./life insurance,24,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
333,200 DM or more,22,no credits taken/all credits paid back duly,others,1283,1000 DM or more,4 to 7 yrs,less than 20,female : non-single or male : single,none,7 yrs or more,car or other,25,none,for free,1,skilled employee/official,0 to 2,no,no,1
334,200 DM or more,24,existing credits paid back duly till now,others,717,1000 DM or more,7 yrs or more,less than 20,female : single,none,7 yrs or more,building soc. savings agr./life insurance,54,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
335,no checking account,24,no credits taken/all credits paid back duly,car (used),1747,unknown/no savings account,less than 1 year,less than 20,male : married/widowed,co-applicant,less than 1 year,car or other,24,none,rent,1,unskilled-resident,0 to 2,no,yes,1
336,no checking account,9,all credits at this bank paid back duly,domestic appliances,1288,less than 100 DM,7 yrs or more,20 to 25,male : married/widowed,guarantor,7 yrs or more,unknown/no property,48,none,rent,2-3,skilled employee/official,3 or more,no,yes,1
337,no checking account,10,all credits at this bank paid back duly,others,1038,unknown/no savings account,4 to 7 yrs,less than 20,male : married/widowed,co-applicant,4 to 7 yrs,car or other,49,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,1
338,200 DM or more,10,no credits taken/all credits paid back duly,car (new),2848,less than 100 DM,1 to 4 yrs,35 or more,male : married/widowed,co-applicant,1 to 4 yrs,unknown/no property,32,none,rent,1,skilled employee/official,3 or more,no,no,1
339,200 DM or more,12,no credits taken/all credits paid back duly,car (new),1413,500 to 1000 DM,4 to 7 yrs,20 to 25,male : married/widowed,none,1 to 4 yrs,car or other,55,none,rent,1,skilled employee/official,0 to 2,no,yes,1
340,200 DM or more,30,all credits at this bank paid back duly,furniture/equipment,3077,1000 DM or more,7 yrs or more,20 to 25,male : married/widowed,none,1 to 4 yrs,building soc. savings agr./life insurance,40,none,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,1
341,no checking account,24,critical account/other credits elsewhere,car (new),3632,unknown/no savings account,1 to 4 yrs,35 or more,female : non-single or male : single,guarantor,7 yrs or more,building soc. savings agr./life insurance,22,bank,for free,1,skilled employee/official,0 to 2,no,yes,1
